Comment,ClusterName,Signal,id,relevant,sentiment,favorite,tags
The concept of being environmentally friendly. Many paints have that now but this paint has these other unique things to make it completely different.,off-topic,0.6239195736,0,true,Neutral,"",""
price is just too much,"price, high, much, way",0.2218756608,1,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,2,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,3,true,Positive,"",""
Dries quickly for same day use.,off-topic,0.283297248,4,true,Negative,"",""
drys fast,off-topic,0.0947665449,5,true,Negative,"",""
"Price is pretty high for me. Paint is paint as long as it covers the wall I am happy, so this product is not that appealing to me.",off-topic,0.2919531063,6,true,Negative,"",""
nothing,"nothing, see, can, ithat",0.1938168686,7,true,Positive,"",""
cost,off-topic,0.0933208181,8,true,Negative,"",""
nnone  way to high in price,"price, high, much, way",0.256199945,9,true,Negative,"",""
same day use,off-topic,0.0,10,true,Negative,"",""
it is high-priced paint,off-topic,0.1190525264,11,true,Negative,"",""
environmentally friendly,off-topic,0.0536669155,12,true,Negative,"",""
na,off-topic,0.0148416654,13,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,14,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,15,true,Positive,"",""
Nothing.,"nothing, see, can, ithat",0.1938168686,16,true,Positive,"",""
$$$,off-topic,0.0,17,true,Negative,"",""
same day use after painting a room,off-topic,0.1415852252,18,true,Negative,"",""
NOTHING,"nothing, see, can, ithat",0.1938168686,19,true,Positive,"",""
nothing,"nothing, see, can, ithat",0.1938168686,20,true,Positive,"",""
Enviromentally friendly,off-topic,0.047575814,21,true,Negative,"",""
price,"price, high, much, way",0.1280999725,22,true,Negative,"",""
cost,off-topic,0.0933208181,23,true,Negative,"",""
Nothing,"nothing, see, can, ithat",0.1938168686,24,true,Positive,"",""
similar to other products.,off-topic,0.1181565405,25,true,Negative,"",""
Nothing stands out.,off-topic,0.1182239718,26,true,Positive,"",""
??,off-topic,0.0,27,"","","",""
It is totally innovative,off-topic,0.1703809064,28,true,Positive,"",""
na,off-topic,0.0148416654,29,true,Positive,"",""
