Comment,ClusterName,Signal,id,relevant,sentiment,favorite,tags
It is an acid-free ink sprayer that you can heat seal with an iron on your fabric.,"iron, heat, seal, permanent",0.1583437773,0,true,Positive,"",""
is creative,off-topic,0.0248160773,1,true,Positive,"",""
nothing,"anything, something, never, heard",0.1288324413,2,true,Negative,"",""
acid free,"acid, free, heat, print",0.0948676897,3,true,Positive,"",""
Not having to wait so long for the paint to dry is appealing.,"dry, waiting, paint, need",0.2876547967,4,true,Positive,"",""
this seems to be like product seen already nice to spray fast drying,"never, clear, exactly, next",0.4313388143,5,true,Negative,"",""
Love the fact that you can just spray it and that it dries super fast!!,"love, shirts, idea, iron",0.2222891745,6,true,Positive,"",""
nothing,"anything, something, never, heard",0.1288324413,7,true,Negative,"",""
colors,"colors, 10, pigment, color",0.0370502206,8,true,Positive,"",""
none,none,0.0287608299,9,true,Negative,"",""
acid free,"acid, free, heat, print",0.0948676897,10,true,Positive,"",""
it comes in small bottles,"never, clear, exactly, next",0.2400821447,11,true,Positive,"",""
no more waiting for paint to dry,"dry, waiting, paint, need",0.1862570079,12,true,Positive,"",""
na,na,0.0221823949,13,true,Negative,"",""
easy for stenciling,"easy, way, quick, effecient",0.1702284794,14,true,Positive,"",""
nothing,"anything, something, never, heard",0.1288324413,15,true,Negative,"",""
Instant dry.,"dry, waiting, paint, need",0.126998707,16,true,Positive,"",""
n/a,off-topic,0.0,17,true,Negative,"",""
spray on product,"product, products, never, innovative",0.1070602114,18,true,Positive,"",""
NOTHING,"anything, something, never, heard",0.1288324413,19,true,Negative,"",""
no waiting for paint to dry,"dry, waiting, paint, need",0.1862570079,20,true,Positive,"",""
Sprayer,off-topic,0.0,21,true,Positive,"",""
dries instantly,"never, clear, exactly, next",0.144813905,22,true,Positive,"",""
nothing,"anything, something, never, heard",0.1288324413,23,true,Negative,"",""
You get a screen printed look,"love, shirts, idea, iron",0.2233243692,24,true,Positive,"",""
heat seal,"heat, seal, sealed, immediately",0.0737506645,25,true,Positive,"",""
I don't use this type of product so I'm not really sure.,"different, type, aspect, even",0.1238239286,26,true,Neutral,"",""
??,off-topic,0.0,27,"","","",""
Being able to apply and than heat seal with an iron,"iron, heat, seal, permanent",0.1679058432,28,true,Positive,"",""
acid free,"acid, free, heat, print",0.0948676897,29,true,Positive,"",""
nothing in particular,"different, type, aspect, even",0.1264453449,30,true,Negative,"",""
fast drying,"pigments, fast, drying, convenient",0.1493740841,31,true,Positive,"",""
paint dries fast alot of shades,"right, fast, away, drying",0.2460228968,32,true,Positive,"",""
don't have to wait for it to dry,"dry, waiting, paint, need",0.1340015689,33,true,Positive,"",""
drys fast,"pigments, fast, drying, convenient",0.1325900719,34,true,Positive,"",""
everything,"anything, something, never, heard",0.1290051261,35,true,Positive,"",""
I don't have to wait for drying time. It can be used on various things.,"never, clear, exactly, next",0.3648513064,36,true,Positive,"",""
its a fun new way to paint,"art, artist, painted, price",0.2169528543,37,true,Positive,"",""
IDK -- Have no interest in stenciling on my walls.,off-topic,0.083580226,38,true,Negative,"",""
none..,none,0.0287608299,39,true,Negative,"",""
That it looks fun and easy to use.,"never, clear, exactly, next",0.2999435071,40,true,Positive,"",""
multi surface.  great for taggers,off-topic,0.084910308,41,true,Positive,"",""
I can't think of anything.,"anything, something, never, heard",0.2095241547,42,true,Negative,"",""
Works well with my hobbys,off-topic,0.0351776433,43,true,Positive,"",""
It makes using stencils easier,"different, type, aspect, even",0.2493677287,44,true,Positive,"",""
dries instantly,"never, clear, exactly, next",0.144813905,45,true,Positive,"",""
boring,"never, clear, exactly, next",0.1130971137,46,true,Negative,"",""
acid free multisurface archival ink,"acid, free, heat, print",0.1578405788,47,true,Positive,"",""
"multisurface, fast drying","pigments, fast, drying, convenient",0.1829451435,48,true,Positive,"",""
THE PART ABOUT IT BEING AN INK SPRAYER,"colors, 10, pigment, color",0.2131806686,49,true,Positive,"",""
nothing,"anything, something, never, heard",0.1288324413,50,true,Negative,"",""
nothing,"anything, something, never, heard",0.1288324413,51,true,Negative,"",""
fast drying pigment ink.,"right, fast, away, drying",0.2313656345,52,true,Positive,"",""
COLORS,"colors, 10, pigment, color",0.0370502206,53,true,Positive,"",""
dont like the looks of the bottle,"never, clear, exactly, next",0.2914812994,54,true,Negative,"",""
heat seal with an iron,"iron, heat, seal, permanent",0.0794080691,55,true,Positive,"",""
used on lots of things,"never, clear, exactly, next",0.2197990278,56,true,Positive,"",""
acid free archival quality,"acid, free, heat, print",0.1663757665,57,true,Positive,"",""
na,na,0.0221823949,58,true,Negative,"",""
Dries quickly,"quick, materials, dries, surfaces",0.1517804078,59,true,Positive,"",""
